locus,count-nuc,missing
MYCO000823,54,31
MYCO000824,24,6
MYCO000859,68,7
MYCO000860,108,46
MYCO000861,70,16
MYCO000871,12,1
MYCO000876,54,4
MYCO000884,43,3
MYCO000885,37,59
MYCO000886,84,386
MYCO000889,64,104
MYCO000896,60,17
MYCO000902,25,1
MYCO000903,11,1
MYCO000906,53,556
MYCO000926,60,5
MYCO000927,44,25
MYCO000929,30,24
MYCO000946,66,13
MYCO000949,103,34
MYCO000951,48,5
MYCO000952,44,32
MYCO000953,43,37
MYCO000957,59,41
MYCO000981,28,5
MYCO000983,66,37
MYCO000993,31,4
MYCO000994,58,2
MYCO000995,36,12
MYCO000002,85,27
MYCO000003,80,10
MYCO000004,56,1
MYCO000007,113,29
MYCO000008,45,5
MYCO000010,70,17
MYCO000012,72,4
MYCO000014,123,7
MYCO000018,91,47
MYCO000020,142,63
MYCO000021,71,737
MYCO000022,39,48
MYCO000023,56,9
MYCO000024,57,1341
MYCO000025,35,564
MYCO000026,80,559
MYCO000027,18,36
MYCO000028,21,44
MYCO000029,85,316
MYCO000030,26,1216
MYCO000031,19,12
MYCO000032,131,1409
MYCO000033,15,16
MYCO000034,25,11
MYCO000035,140,77
MYCO000036,57,55
MYCO000037,86,12
MYCO000039,27,7
MYCO000040,60,1
MYCO000041,184,61
MYCO000042,76,450
MYCO000043,48,25
MYCO000044,60,142
MYCO000045,52,2605
MYCO000048,63,21
MYCO000052,44,10
MYCO000057,62,18
MYCO000058,141,13
MYCO000059,49,17
MYCO000060,51,3
MYCO000061,21,1291
MYCO000062,98,51
MYCO000063,111,1157
MYCO000064,182,1473
MYCO000065,15,8
MYCO000067,31,6
MYCO000069,73,22
MYCO000070,52,7
MYCO000071,55,1953
MYCO000072,59,1322
MYCO000073,49,350
MYCO000074,65,1822
MYCO000075,63,230
MYCO000076,20,11
MYCO000077,51,29
MYCO000078,25,18
MYCO000079,31,9
MYCO000080,43,82
MYCO000081,26,1
MYCO000082,27,1136
MYCO000083,65,1011
MYCO000084,39,17
MYCO000085,45,5
MYCO000086,84,17
MYCO000087,84,264
MYCO000088,40,25
MYCO000089,33,11
MYCO000090,50,63
MYCO000091,39,47
MYCO000092,118,62
MYCO000093,63,13
MYCO000094,21,5715
MYCO000095,178,2335
MYCO000096,88,47
MYCO000097,28,3
MYCO000098,30,3
MYCO000099,74,1219
MYCO000100,9,0
MYCO000101,362,35
MYCO000102,123,7
MYCO000103,117,23
MYCO000104,82,1789
MYCO000106,50,6
MYCO000107,5,5751
MYCO000108,12,7
MYCO000109,79,940
MYCO000110,38,20
MYCO000111,97,7
MYCO000112,72,28
MYCO000113,59,268
MYCO000114,33,37
MYCO000115,73,643
MYCO000116,44,11
MYCO000117,50,5
MYCO000118,104,17
MYCO000119,79,6
MYCO000120,130,45
MYCO000121,24,124
MYCO000122,21,8
MYCO000123,15,2
MYCO000124,8,5608
MYCO000125,53,8
MYCO000126,92,20
MYCO000127,57,28
MYCO000128,33,33
MYCO000130,39,7
MYCO000131,63,22
MYCO000132,53,29
MYCO000133,47,69
MYCO000134,34,1860
MYCO000135,27,2
MYCO000136,96,92
MYCO000137,30,697
MYCO000138,31,697
MYCO000139,57,24
MYCO000140,22,11
MYCO000141,23,8
MYCO000142,58,61
MYCO000143,94,117
MYCO000144,42,262
MYCO000145,63,269
MYCO000146,50,848
MYCO000147,93,73
MYCO000148,41,39
MYCO000149,48,873
MYCO000150,18,26
MYCO000151,113,235
MYCO000152,99,50
MYCO000153,42,4
MYCO000154,49,4
MYCO000155,42,11
MYCO000156,17,3
MYCO000157,66,21
MYCO000158,36,0
MYCO000159,93,73
MYCO000160,92,14
MYCO000161,74,52
MYCO000162,59,61
MYCO000163,32,3
MYCO000164,23,0
MYCO000165,17,2696
MYCO000166,80,59
MYCO000167,29,3
MYCO000168,49,5
MYCO000169,86,71
MYCO000170,45,2
MYCO000171,85,548
MYCO000172,96,28
MYCO000173,52,1
MYCO000174,86,37
MYCO000175,52,39
MYCO000176,58,28
MYCO000177,24,0
MYCO000178,39,9
MYCO000179,61,11
MYCO000180,78,483
MYCO000181,33,8
MYCO000182,72,158
MYCO000185,19,18
MYCO000186,98,232
MYCO000187,36,59
MYCO000188,25,5
MYCO000190,13,0
MYCO000191,63,52
MYCO000192,53,668
MYCO000193,110,31
MYCO000194,194,295
MYCO000195,32,916
MYCO000196,24,77
MYCO000197,1,5811
MYCO000199,29,1
MYCO000200,29,0
MYCO000201,26,434
MYCO000202,137,22
MYCO000203,21,35
MYCO000205,41,716
MYCO000206,106,12
MYCO000208,28,1
MYCO000209,60,46
MYCO000210,64,185
MYCO000212,51,52
MYCO000213,66,14
MYCO000214,86,58
MYCO000215,44,586
MYCO000216,54,20
MYCO000217,53,39
MYCO000218,62,792
MYCO000219,31,0
MYCO000220,65,22
MYCO000221,59,552
MYCO000222,40,44
MYCO000224,25,5
MYCO000226,87,9
MYCO000229,39,10
MYCO000230,59,12
MYCO000231,89,44
MYCO000232,38,5
MYCO000233,41,514
MYCO000234,68,50
MYCO000235,107,25
MYCO000239,20,12
MYCO000240,21,12
MYCO000245,35,9
MYCO000246,65,59
MYCO000249,28,5
MYCO000250,16,4
MYCO000251,33,5
MYCO000252,149,13
MYCO000253,18,26
MYCO000254,22,11
MYCO000255,76,46
MYCO000256,98,564
MYCO000257,28,601
MYCO000258,25,9
MYCO000259,48,8
MYCO000260,63,41
MYCO000261,83,28
MYCO000262,24,16
MYCO000263,44,43
MYCO000264,32,18
MYCO000265,60,11
MYCO000266,166,585
MYCO000267,65,232
MYCO000268,33,33
MYCO000269,58,9
MYCO000271,101,88
MYCO000272,66,73
MYCO000273,36,55
MYCO000275,52,109
MYCO000276,46,55
MYCO000277,66,86
MYCO000278,5,5796
MYCO000279,84,5434
MYCO000280,96,1495
MYCO000281,39,18
MYCO000282,77,13
MYCO000283,76,9
MYCO000284,197,76
MYCO000285,13,5
MYCO000286,86,611
MYCO000287,15,1
MYCO000288,22,0
MYCO000289,64,76
MYCO000290,89,337
MYCO000291,73,69
MYCO000292,53,9
MYCO000293,71,104
MYCO000294,44,125
MYCO000295,33,14
MYCO000296,60,39
MYCO000297,127,2265
MYCO000298,17,4
MYCO000299,24,8
MYCO000300,10,3
MYCO000301,19,6
MYCO000302,34,24
MYCO000303,53,19
MYCO000304,372,657
MYCO000305,13,5716
MYCO000306,26,6
MYCO000307,28,10
MYCO000308,41,6
MYCO000309,30,10
MYCO000310,22,2
MYCO000311,63,8
MYCO000312,79,11
MYCO000313,21,0
MYCO000314,41,3
MYCO000315,41,342
MYCO000316,35,86
MYCO000317,44,79
MYCO000318,40,15
MYCO000319,37,20
MYCO000320,37,15
MYCO000323,38,56
MYCO000324,31,6
MYCO000325,7,2697
MYCO000326,20,11
MYCO000327,68,35
MYCO000328,24,6
MYCO000329,38,101
MYCO000330,42,17
MYCO000331,73,25
MYCO000332,42,17
MYCO000333,23,1
MYCO000335,27,493
MYCO000336,24,4867
MYCO000338,113,244
MYCO000339,127,219
MYCO000340,33,12
MYCO000341,67,732
MYCO000342,79,58
MYCO000343,79,27
MYCO000344,19,0
MYCO000345,28,1
MYCO000346,56,187
MYCO000347,29,6
MYCO000348,23,6
MYCO000349,33,12
MYCO000351,26,17
MYCO000353,21,4
MYCO000354,1,5808
MYCO000355,372,3159
MYCO000356,43,26
MYCO000358,29,636
MYCO000359,42,18
MYCO000361,33,6
MYCO000362,76,11
MYCO000363,46,3
MYCO000364,32,1
MYCO000365,60,5
MYCO000366,30,16
MYCO000367,21,0
MYCO000368,71,65
MYCO000369,24,6
MYCO000370,62,28
MYCO000371,24,5
MYCO000372,51,10
MYCO000373,141,40
MYCO000374,33,3
MYCO000375,33,187
MYCO000376,59,313
MYCO000377,56,290
MYCO000378,12,334
MYCO000379,13,10
MYCO000380,25,17
MYCO000381,35,0
MYCO000382,21,0
MYCO000385,41,3
MYCO000386,160,106
MYCO000387,32,1032
MYCO000388,4,5805
MYCO000389,68,84
MYCO000390,22,2
MYCO000391,42,11
MYCO000392,74,314
MYCO000393,105,772
MYCO000394,37,54
MYCO000395,13,910
MYCO000396,22,38
MYCO000397,52,516
MYCO000398,27,25
MYCO000399,69,66
MYCO000400,52,29
MYCO000401,16,12
MYCO000402,135,952
MYCO000403,17,1347
MYCO000404,141,131
MYCO000405,161,2762
MYCO000406,33,9
MYCO000408,95,7
MYCO000409,50,5
MYCO000412,66,6
MYCO000413,28,11
MYCO000416,7,0
MYCO000418,69,20
MYCO000419,71,24
MYCO000420,30,4
MYCO000421,35,6
MYCO000422,35,4
MYCO000424,17,0
MYCO000425,205,241
MYCO000426,30,0
MYCO000427,41,13
MYCO000428,32,37
MYCO000430,9,6
MYCO000431,19,4
MYCO000434,28,17
MYCO000435,110,37
MYCO000436,33,4
MYCO000437,25,6
MYCO000438,64,0
MYCO000441,20,14
MYCO000442,86,88
MYCO000443,22,177
MYCO000444,33,119
MYCO000445,21,2
MYCO000446,29,1229
MYCO000447,67,18
MYCO000448,27,7
MYCO000449,49,7
MYCO000450,113,28
MYCO000451,26,2
MYCO000452,30,3
MYCO000453,54,405
MYCO000454,21,8
MYCO000455,21,0
MYCO000456,52,29
MYCO000457,81,521
MYCO000458,88,25
MYCO000459,32,42
MYCO000460,13,0
MYCO000461,39,49
MYCO000463,11,7
MYCO000464,22,0
MYCO000469,51,64
MYCO000470,32,24
MYCO000471,33,38
MYCO000473,50,10
MYCO000474,16,3
MYCO000476,12,1
MYCO000477,23,6
MYCO000478,38,4
MYCO000479,33,76
MYCO000480,36,32
MYCO000481,30,11
MYCO000482,42,2
MYCO000485,53,25
MYCO000487,36,58
MYCO000488,30,22
MYCO000492,97,108
MYCO000493,58,85
MYCO000494,37,2
MYCO000497,39,70
MYCO000499,38,121
MYCO000500,34,68
MYCO000503,32,4
MYCO000504,15,1
MYCO000506,11,25
MYCO000507,171,488
MYCO000508,10,0
MYCO000511,71,167
MYCO000513,18,10
MYCO000514,25,0
MYCO000515,24,4867
MYCO000516,15,10
MYCO000517,63,55
MYCO000518,29,5
MYCO000519,43,103
MYCO000520,16,62
MYCO000521,15,3
MYCO000522,46,18
MYCO000523,20,14
MYCO000525,40,31
MYCO000526,26,2
MYCO000530,67,110
MYCO000531,16,121
MYCO000532,18,5347
MYCO000533,37,32
MYCO000534,42,2
MYCO000535,38,22
MYCO000536,45,55
MYCO000537,83,15
MYCO000538,133,361
MYCO000539,25,1514
MYCO000540,26,68
MYCO000541,61,28
MYCO000542,53,45
MYCO000543,11,0
MYCO000544,17,21
MYCO000545,56,25
MYCO000546,23,6
MYCO000547,47,10
MYCO000549,23,44
MYCO000550,15,16
MYCO000552,71,771
MYCO000554,36,45
MYCO000556,19,0
MYCO000559,13,10
MYCO000560,37,12
MYCO000561,42,7
MYCO000565,100,163
MYCO000567,45,95
MYCO000568,65,21
MYCO000569,12,4
MYCO000570,123,191
MYCO000571,55,25
MYCO000572,18,22
MYCO000573,67,26
MYCO000574,53,89
MYCO000575,50,155
MYCO000576,62,113
MYCO000577,45,230
MYCO000578,161,3944
MYCO000579,38,17
MYCO000580,26,23
MYCO000581,13,14
MYCO000582,15,5
MYCO000583,40,29
MYCO000584,137,51
MYCO000585,108,93
MYCO000586,35,15
MYCO000587,51,88
MYCO000588,52,31
MYCO000589,68,39
MYCO000590,25,2705
MYCO000591,85,51
MYCO000592,60,917
MYCO000593,55,21
MYCO000594,88,96
MYCO000595,26,7
MYCO000596,11,31
MYCO000597,55,6
MYCO000598,22,5
MYCO000599,17,2
MYCO000600,20,6
MYCO000601,36,30
MYCO000602,47,106
MYCO000603,12,296
MYCO000604,51,23
MYCO000605,23,16
MYCO000606,34,80
MYCO000607,20,10
MYCO000608,8,0
MYCO000609,25,29
MYCO000610,48,527
MYCO000611,19,10
MYCO000612,29,289
MYCO000613,121,445
MYCO000614,47,37
MYCO000615,10,3
MYCO000616,22,24
MYCO000617,19,5
MYCO000618,32,579
MYCO000620,62,510
MYCO000621,43,582
MYCO000622,49,11
MYCO000623,10,4
MYCO000624,19,5
MYCO000625,38,40
MYCO000626,13,18
MYCO000627,17,16
MYCO000628,47,35
MYCO000629,82,128
MYCO000630,141,347
MYCO000631,141,407
MYCO000632,30,4
MYCO000633,49,22
MYCO000634,26,4
MYCO000635,24,7
MYCO000637,30,5
MYCO000638,31,5
MYCO000642,43,11
MYCO000643,43,44
MYCO000644,34,17
MYCO000645,34,0
MYCO000646,43,8
MYCO000648,162,864
MYCO000649,40,1227
MYCO000650,42,694
MYCO000653,25,0
MYCO000654,69,585
MYCO000656,19,7
MYCO000657,7,2
MYCO000658,40,8
MYCO000659,20,7
MYCO000660,18,66
MYCO000661,17,23
MYCO000662,10,5
MYCO000663,127,489
MYCO000664,14,3
MYCO000665,13,2
MYCO000666,7,1
MYCO000669,94,92
MYCO000670,25,1077
MYCO000671,44,54
MYCO000673,46,135
MYCO000674,20,21
MYCO000675,33,25
MYCO000676,90,7
MYCO000677,19,3
MYCO000678,27,25
MYCO000679,26,3
MYCO000680,18,1
MYCO000681,36,4
MYCO000686,40,127
MYCO000687,26,4
MYCO000688,46,15
MYCO000689,12,13
MYCO000690,36,6
MYCO000691,32,0
MYCO000692,21,0
MYCO000694,40,179
MYCO000695,33,2
MYCO000697,64,12
MYCO000698,29,1043
MYCO000699,10,2
MYCO000711,90,53
MYCO000712,30,6
MYCO000713,58,19
MYCO000724,88,321
MYCO000725,42,50
MYCO000726,67,17
MYCO000727,39,44
MYCO000728,51,67
MYCO000729,65,118
MYCO000730,37,17
MYCO000731,45,17
MYCO000735,30,4
MYCO000736,46,8
MYCO000737,19,5
MYCO000738,30,160
MYCO000739,21,2766
MYCO000740,34,1438
MYCO000741,17,70
MYCO000743,21,9
MYCO000744,25,171
MYCO000745,33,49
MYCO000746,33,5111
MYCO000747,39,5167
MYCO000748,24,97
MYCO000749,44,313
MYCO000750,24,1377
MYCO000751,34,24
MYCO000752,58,33
MYCO000753,67,44
MYCO000754,85,433
MYCO000755,117,204
MYCO000756,36,18
MYCO000759,8,0
MYCO000760,21,183
MYCO000761,34,0
MYCO000762,22,15
MYCO000763,9,10
MYCO000764,49,22
MYCO000765,39,14
MYCO000766,53,1505
MYCO000767,31,7
MYCO000768,73,13
MYCO000769,37,4
MYCO000770,35,13
MYCO000771,23,52
MYCO000773,80,42
MYCO000774,47,104
MYCO000775,32,16
MYCO000776,32,6
MYCO000778,54,268
MYCO000779,31,1029
MYCO000781,1,5660
MYCO000783,90,24
MYCO000784,34,2
MYCO000785,63,99
MYCO000786,19,9
MYCO000787,48,126
MYCO000789,23,10
MYCO000790,43,32
MYCO000791,59,18
MYCO000792,42,22
MYCO000793,12,9
MYCO000794,67,38
MYCO000795,16,589
MYCO000797,7,5762
MYCO000798,32,2
MYCO000799,34,2
MYCO000800,67,15
MYCO000801,19,1
MYCO000802,36,26
MYCO000804,24,177
MYCO000805,53,5
MYCO000806,66,15
MYCO000807,14,3
MYCO000811,47,11
MYCO000812,36,2
MYCO000813,36,7
MYCO000816,29,2
MYCO000817,32,2
MYCO000818,29,22
MYCO000819,45,2
MYCO000822,82,444
MYCO000825,49,353
MYCO000826,42,42
MYCO000827,19,67
MYCO000828,30,10
MYCO000829,24,272
MYCO000830,45,10
MYCO000831,35,30
MYCO000832,13,697
MYCO000833,80,4607
MYCO000834,103,2829
MYCO000835,51,511
MYCO000836,16,2725
MYCO000837,51,142
MYCO000838,38,56
MYCO000839,31,47
MYCO000840,36,90
MYCO000841,16,25
MYCO000842,66,51
MYCO000843,60,21
MYCO000844,42,19
MYCO000845,70,26
MYCO000846,62,86
MYCO000847,14,47
MYCO000848,56,52
MYCO000849,64,533
MYCO000850,15,21
MYCO000851,33,198
MYCO000852,43,19
MYCO000853,74,31
MYCO000854,29,10
MYCO000855,52,56
MYCO000856,23,6
MYCO000857,17,14
MYCO000858,68,42
MYCO000862,109,21
MYCO000863,11,3
MYCO000864,22,8
MYCO000865,16,3
MYCO000866,27,62
MYCO000867,87,2102
MYCO000868,14,5
MYCO000869,52,24
MYCO000870,22,3
MYCO000872,77,2440
MYCO000873,86,59
MYCO000874,46,20
MYCO000875,18,3
MYCO000877,31,0
MYCO000878,51,4098
MYCO000879,19,2
MYCO000880,19,15
MYCO000881,42,5
MYCO000882,15,10
MYCO000883,33,23
MYCO000887,16,6
MYCO000888,68,1297
MYCO000890,138,61
MYCO000891,37,17
MYCO000892,84,27
MYCO000893,67,32
MYCO000894,56,51
MYCO000895,69,30
MYCO000897,82,502
MYCO000898,13,3
MYCO000899,36,10
MYCO000900,6,6
MYCO000901,25,18
MYCO000904,54,230
MYCO000905,31,7
MYCO000907,1,5808
MYCO000908,97,10
MYCO000909,15,39
MYCO000910,23,13
MYCO000911,46,12
MYCO000912,23,3
MYCO000913,81,83
MYCO000914,81,28
MYCO000915,55,169
MYCO000916,16,7
MYCO000917,65,26
MYCO000918,26,27
MYCO000919,27,7
MYCO000920,72,53
MYCO000921,27,15
MYCO000922,94,86
MYCO000923,59,14
MYCO000924,55,41
MYCO000925,35,13
MYCO000928,40,17
MYCO000930,5,5729
MYCO000931,109,53
MYCO000932,64,18
MYCO000933,40,30
MYCO000934,53,422
MYCO000935,52,21
MYCO000936,36,86
MYCO000937,25,2
MYCO000938,99,21
MYCO000939,99,31
MYCO000940,40,3
MYCO000941,36,15
MYCO000942,15,21
MYCO000943,52,19
MYCO000944,28,4
MYCO000945,50,20
MYCO000947,16,3
MYCO000948,15,3
MYCO000950,48,10
MYCO000954,55,15
MYCO000955,52,531
MYCO000956,28,156
MYCO000958,65,66
MYCO000959,99,162
MYCO000960,17,9
MYCO000961,18,40
MYCO000962,26,293
MYCO000963,44,327
MYCO000964,20,4
MYCO000965,28,1
MYCO000966,26,518
MYCO000967,13,3
MYCO000968,16,30
MYCO000969,115,432
MYCO000970,28,6
MYCO000971,36,34
MYCO000972,69,52
MYCO000973,122,29
MYCO000974,88,15
MYCO000975,52,30
MYCO000976,78,61
MYCO000977,107,2819
MYCO000978,62,5402
MYCO000979,13,4
MYCO000980,71,5548
MYCO000982,70,29
MYCO000984,18,14
MYCO000985,35,13
MYCO000986,48,172
MYCO000987,197,232
MYCO000988,87,116
MYCO000989,79,56
MYCO000990,36,31
MYCO000991,15,59
MYCO000992,29,6
MYCO000996,45,3
MYCO000997,22,2
MYCO000998,44,5
MYCO000999,32,11
MYCO001000,21,5
MYCO001001,58,4
MYCO001002,63,19
MYCO001007,60,3
MYCO001008,39,13
MYCO001009,45,12
MYCO001010,48,3
MYCO001011,36,2
MYCO001013,64,5
MYCO001014,33,7
MYCO001015,29,3
MYCO001017,32,1
MYCO001018,65,5
MYCO001020,169,54
MYCO001022,27,27
MYCO001023,62,16
MYCO001026,38,121
MYCO001070,29,2
MYCO001071,48,15
MYCO001072,33,2
MYCO001077,64,10
MYCO001079,33,6
MYCO001080,18,29
MYCO001082,35,30
MYCO001086,33,22
MYCO001092,31,3
MYCO001094,22,1
MYCO001095,57,84
MYCO001098,44,7
MYCO001099,48,12
MYCO001108,51,13
MYCO001110,34,3
MYCO001112,44,419
MYCO001165,80,22
MYCO001173,103,30
MYCO001177,7,6
MYCO001178,60,7
MYCO001193,48,37
MYCO001201,40,26
MYCO001202,37,0
MYCO001207,45,59
MYCO001208,32,3
MYCO001213,62,101
MYCO001220,20,3
MYCO001221,28,3
MYCO001223,76,201
MYCO001229,51,5
MYCO001238,36,22
MYCO001239,40,4
MYCO001245,45,85
MYCO001248,150,79
MYCO001253,82,75
MYCO001272,69,23
MYCO001273,69,9
MYCO001277,44,46
MYCO001292,69,4
MYCO001293,53,54
MYCO001294,52,14
MYCO001295,41,7
MYCO001297,59,46
MYCO001299,23,24
MYCO001302,40,4
MYCO001305,10,1
MYCO001308,56,11
MYCO001309,38,11
MYCO001310,37,2
MYCO001311,25,11
MYCO001315,40,15
MYCO001321,26,4
MYCO001323,47,12
MYCO001326,90,5
MYCO001327,66,11
MYCO001328,116,42
MYCO001338,31,7
MYCO001340,26,1
MYCO001380,37,2
MYCO001381,46,30
MYCO001383,46,17
MYCO001384,157,63
MYCO001385,38,187
MYCO001388,28,0
MYCO001390,13,0
MYCO001391,64,39
MYCO001392,68,31
MYCO001402,73,1539
MYCO001407,68,57
MYCO001408,25,113
MYCO001410,50,2
MYCO001412,27,3
MYCO001415,36,9
MYCO001416,22,1
MYCO001420,75,5
MYCO001421,39,7
MYCO001436,33,5
MYCO001437,41,1
MYCO001438,32,14
MYCO001440,10,7
MYCO001445,36,17
MYCO001447,97,132
MYCO001448,46,9
MYCO001449,92,18
MYCO001451,36,18
MYCO001457,30,2
MYCO001458,41,6
MYCO001462,53,6
MYCO001463,31,5
MYCO001464,53,5
MYCO001465,14,0
MYCO001466,9,1
MYCO001467,54,24
MYCO001473,58,5
MYCO001474,21,54
MYCO001475,97,6
MYCO001479,50,18
MYCO001480,44,5
MYCO001481,44,2
MYCO001483,21,4
MYCO001484,37,22
MYCO001485,31,20
MYCO001493,70,152
MYCO001536,136,18
MYCO001540,47,6
MYCO001547,121,41
MYCO001557,59,605
MYCO001559,66,296
MYCO001564,90,19
MYCO001568,53,9
MYCO001569,38,92
MYCO001589,37,4
MYCO001593,27,5
MYCO001594,52,15
MYCO001595,74,29
MYCO001599,54,51
MYCO001600,47,2
MYCO001601,27,0
MYCO001603,41,1
MYCO001605,32,1
MYCO001609,67,2
MYCO001611,22,6
MYCO001612,59,2
MYCO001617,68,6
MYCO001626,24,1
MYCO001627,40,15
MYCO001629,131,27
MYCO001633,93,95
MYCO001638,122,8
MYCO001649,43,10
MYCO001652,37,39
MYCO001653,42,83
MYCO001654,25,56
MYCO001655,54,26
MYCO001656,40,19
MYCO001657,25,16
MYCO001658,53,16
MYCO001659,60,20
MYCO001689,52,4
MYCO001694,37,34
MYCO001695,36,0
MYCO001697,28,1
MYCO001699,93,10
MYCO001701,26,2
MYCO001708,29,7
MYCO001709,45,2
MYCO001711,34,1
MYCO001712,32,11
MYCO001713,60,13
MYCO001821,98,3
MYCO001827,19,0
MYCO001829,20,3
MYCO001830,62,8
MYCO001832,122,11
MYCO001837,104,26
MYCO001842,69,40
MYCO001843,72,19
MYCO001844,85,42
MYCO001854,61,17
MYCO001886,45,19
MYCO001894,63,218
MYCO001981,24,6
MYCO001003,43,41
MYCO001004,81,1168
MYCO001005,31,747
MYCO001006,69,11
MYCO001012,15,567
MYCO001016,23,0
MYCO001019,19,4
MYCO001021,35,16
MYCO001024,26,13
MYCO001025,21,3
MYCO001027,35,15
MYCO001028,103,1450
MYCO001029,85,48
MYCO001030,100,40
MYCO001031,25,4
MYCO001032,74,43
MYCO001033,25,42
MYCO001034,16,830
MYCO001035,30,279
MYCO001036,20,55
MYCO001037,132,1445
MYCO001038,102,3195
MYCO001039,53,214
MYCO001040,40,22
MYCO001041,52,95
MYCO001042,26,55
MYCO001043,46,17
MYCO001044,22,4
MYCO001045,33,1166
MYCO001046,1,5808
MYCO001047,7,5709
MYCO001048,66,21
MYCO001049,27,12
MYCO001050,36,22
MYCO001051,54,5
MYCO001052,19,51
MYCO001053,14,21
MYCO001054,18,5
MYCO001055,7,0
MYCO001056,30,21
MYCO001057,78,31
MYCO001058,62,36
MYCO001059,59,42
MYCO001060,23,10
MYCO001061,42,12
MYCO001062,36,8
MYCO001063,54,26
MYCO001064,26,51
MYCO001065,29,14
MYCO001066,17,21
MYCO001067,24,5755
MYCO001068,24,5586
MYCO001069,89,59
MYCO001073,49,99
MYCO001074,46,68
MYCO001075,55,24
MYCO001076,55,10
MYCO001078,27,256
MYCO001081,16,1
MYCO001083,12,6
MYCO001084,72,967
MYCO001085,25,5
MYCO001087,95,4721
MYCO001088,21,487
MYCO001090,24,41
MYCO001091,86,5210
MYCO001093,47,2
MYCO001096,49,8
MYCO001097,43,11
MYCO001100,35,12
MYCO001101,43,107
